,Ed
0,0.2685
1,0.2343
2,0.3
3,0.25
4,0.2
5,0.2833
6,0.3844
7,0.3443
8,0.0
9,0.392
10,0.4077
11,0.459
12,0.3641
13,0.0654
14,0.3741
15,0.279
16,0.3885
17,0.3165
18,0.12
19,0.0733
20,0.0058
21,0.4612
22,0.2
23,0.2386
24,0.2122
25,0.5363
26,0.24
27,0.1106
28,0.2716
29,0.0333
30,0.4286
31,0.2027
32,0.5812
33,0.5
34,0.6909
35,0.1429
36,0.2773
37,0.2459
38,0.4384
39,0.0797
40,0.1
41,0.3697
42,0.4935
43,0.2509
44,0.513
45,0.3235
46,0.2214
47,0.1486
48,0.2
49,0.3595
50,0.2494
51,0.8412
52,0.0381
53,0.2341
54,0.1615
55,0.2683
56,0.568
57,0.592
58,0.3667
59,0.255
60,0.648
61,0.2879
62,0.1364
63,0.0757
64,0.1472
65,0.1317
66,0.3767
67,0.2675
68,0.2154
69,0.16
70,0.1308
71,0.4928
72,0.2635
73,0.591
74,0.6527
75,0.5578
76,0.0054
77,0.463
78,0.5846
79,0.5195
80,0.3636
81,0.208
82,0.26
83,0.0
84,0.0845
85,0.3617
86,0.6125
87,0.2319
88,0.1159
89,0.6713
90,0.7514
91,0.698
92,0.2225
93,0.3253
94,0.1183
95,0.0127
96,0.0032
97,0.0
98,0.1176
99,0.0
100,0.0
101,0.1308
102,0.2697
103,0.5673
104,0.1298
105,0.1779
106,0.05
107,0.58
108,0.1267
109,0.3267
110,0.2556
111,0.2533
112,0.2847
